course,instructor,quarter,year,A,nLetterStudents
WRIT    502B,LUNSFORD K J,Winter,2021,0,0
WRIT    500,HANSON J L,Winter,2021,0,0
WRIT    500,HARRIS-MOORE,Winter,2021,0,0
WRIT    500,WARWICK N L,Winter,2021,0,0
WRIT    253,LUNSFORD K J,Winter,2021,5,5
WRIT    251,LUNSFORD K J,Winter,2021,0,0
WRIT    199,GENOVA G L,Winter,2021,10,10
WRIT    199,MORRIS N S,Winter,2021,4,5
WRIT    159A,BRADLEY N D,Winter,2021,11,16
WRIT    157A,KRYDER E A,Winter,2021,7,25
WRIT    155A,SORAPURE M I,Winter,2021,18,25
WRIT    153A,COKLIN L,Winter,2021,21,25
WRIT    152A,MORRIS N S,Winter,2021,12,20
WRIT    151A,COTICH C,Winter,2021,6,22
WRIT    131B,COKLIN L,Winter,2021,19,21
WRIT    126,MENA H P,Winter,2021,4,13
WRIT    109V,DONELAN J H,Winter,2021,7,16
WRIT    109V,HIRSCH S A,Winter,2021,7,12
WRIT    109ST,NADLER R,Winter,2021,0,41
WRIT    109SS,SAMUELS R D,Winter,2021,2,33
WRIT    109HU,BAILLARGEON K,Winter,2021,19,22
WRIT    109HU,MCHUGH P,Winter,2021,15,18
WRIT    109HP,MIZRAHI J L,Winter,2021,10,23
WRIT    109GS,FANCHER P J,Winter,2021,11,22
WRIT    109F,CHENOWETH R C,Winter,2021,9,20
WRIT    109F,THOMAS C,Winter,2021,11,22
WRIT    109ED,SAUR E H,Winter,2021,29,48
WRIT    109CS,VERTIZ V,Winter,2021,5,21
WRIT    107WC,WEBBER M A,Winter,2021,9,24
WRIT    107T,SMITH K A,Winter,2021,8,48
WRIT    107P,MIZRAHI J L,Winter,2021,6,23
WRIT    107M,MORRIS N S,Winter,2021,8,17
WRIT    107M,WHITTET E O,Winter,2021,22,45
WRIT    107L,BAILLARGEON K,Winter,2021,40,49
WRIT    107J,HIRSCH S A,Winter,2021,8,22
WRIT    107J,MENA H P,Winter,2021,15,48
WRIT    107G,KRUVAND M,Winter,2021,8,38
WRIT    107EP,KRYDER E A,Winter,2021,7,19
WRIT    107B,ERNST B C,Winter,2021,10,22
WRIT    107B,MURTI-HALI D,Winter,2021,20,45
WRIT    107A,JOHNSON J K,Winter,2021,7,22
WRIT    105SW,KRUVAND M,Winter,2021,15,21
WRIT    105R,HARRIS-MOORE,Winter,2021,11,35
WRIT    105R,RUTHERFORD K,Winter,2021,17,38
WRIT    105R,WARWICK N L,Winter,2021,13,20
WRIT    105PS,FRANK D M,Winter,2021,13,22
WRIT    105PS,GENOVA G L,Winter,2021,7,19
WRIT    105PS,HANSON J L,Winter,2021,13,22
WRIT    105M,DEAN C W,Winter,2021,18,25
WRIT    105M,FANCHER P J,Winter,2021,25,41
WRIT    105M,PROPEN A D,Winter,2021,13,23
WRIT    105C,BROWN KARA,Winter,2021,19,22
WRIT    105C,COKLIN L,Winter,2021,7,19
WRIT    105C,MCHUGH P,Winter,2021,10,18
WRIT    105C,WILLIAMS A M,Winter,2021,11,21
WRIT     99,GENOVA G L,Winter,2021,5,5
WRIT     50E,HUK P M,Winter,2021,41,50
WRIT     50E,RUTHERFORD K,Winter,2021,17,25
WRIT     50E,STANSELL A,Winter,2021,11,48
WRIT     50,PATTERSON K A,Winter,2021,10,22
WRIT     50,YAMBOLIEV K I,Winter,2021,2,21
WRIT     28,VERTIZ V,Winter,2021,6,6
WRIT      2E,BRADLEY N D,Winter,2021,15,24
WRIT      2,COTICH C,Winter,2021,0,14
WRIT      2,DEAN C W,Winter,2021,14,19
WRIT      2,DONELAN J H,Winter,2021,4,19
WRIT      2,ERNST B C,Winter,2021,10,24
WRIT      2,FRANK D M,Winter,2021,12,22
WRIT      2,GRUE M N,Winter,2021,14,22
WRIT      2,HAMMER L M,Winter,2021,1,18
WRIT      2,HANSON J L,Winter,2021,44,116
WRIT      2,HARRIS-MOORE,Winter,2021,59,142
WRIT      2,KRUT R M,Winter,2021,7,17
WRIT      2,MORLAND P,Winter,2021,8,24
WRIT      2,PATTERSON K A,Winter,2021,2,16
WRIT      2,ROSS ALTARAC,Winter,2021,6,24
WRIT      2,WARWICK N L,Winter,2021,52,144
WRIT      2,WILLIAMS A M,Winter,2021,32,47
WRIT      2,YAMBOLIEV K I,Winter,2021,4,44
WRIT      1,CHENOWETH R C,Winter,2021,11,25
WRIT      1,HAMMER L M,Winter,2021,2,24
WRIT      1,JOHNSON J K,Winter,2021,5,16
WRIT      1,SAUR E H,Winter,2021,12,25
WRIT      1,VERTIZ V,Winter,2021,4,17
WRIT      1,WARWICK N L,Winter,2021,14,24
WRIT      1,WEBBER M A,Winter,2021,9,24
W&L  CS 197,FAHLER M V,Winter,2021,0,0
W&L  CS 190,BROWN R L,Winter,2021,0,0
W&L  CS 170,BROWN R L,Winter,2021,0,0
W&L  CS 150FP,BADLEY III D,Winter,2021,0,0
W&L  CS 141,JACKSON W E,Winter,2021,0,0
W&L  CS 130,DATCHER M G,Winter,2021,0,0
W&L  CS 120,TERVALON J,Winter,2021,0,0
W&L  CS  12,BROWN R L,Winter,2021,0,0
W&L  CS   4,BROWN KARA,Winter,2021,0,0
TMP     491A,SEIBOLD D R,Winter,2021,9,22
TMP     443,ROTTNER R M,Winter,2021,14,23
TMP     433,BARLEY S R,Winter,2021,6,22
TMP     412,HANSEN G S,Winter,2021,12,23
TMP     244,BOGART K S,Winter,2021,6,10
TMP     127,MAYER C,Winter,2021,15,33
TMP     127,ROTTNER R M,Winter,2021,11,31
